# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1471273	1471854	-	YP_002407405.1	WP_000008651.1		superoxide dismutase	sodB	7153582	ECIAI39_1400	582	193	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1471982	1472809	-					ydhO	7152871	ECIAI39_1401	828		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1471982	1472809	-	YP_002407406.1	WP_000101180.1		putative exported hydrolase	ydhO	7152871	ECIAI39_1401	828	275	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1473144	1473491	+					ydhD	7153581	ECIAI39_1402	348		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1473144	1473491	+	YP_002407407.1	WP_000108172.1		hypothetical protein	ydhD	7153581	ECIAI39_1402	348	115	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1473542	1478158	-					lhr	7153575	ECIAI39_1403	4617		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1473542	1478158	-	YP_002407408.1	WP_012602307.1		putative ATP-dependent helicase Lhr	lhr	7153575	ECIAI39_1403	4617	1538	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1478251	1478898	-					rnt	7151934	ECIAI39_1404	648		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1478251	1478898	-	YP_002407409.1	WP_001282281.1		ribonuclease T	rnt	7151934	ECIAI39_1404	648	215	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1479001	1479408	-					gloA	7152663	ECIAI39_1405	408		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1479001	1479408	-	YP_002407410.1	WP_001237796.1		glyoxalase I	gloA	7152663	ECIAI39_1405	408	135	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1479489	1480586	-					nemA	7151534	ECIAI39_1406	1098		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1479489	1480586	-	YP_002407411.1	WP_000093598.1		N-ethylmaleimide reductase	nemA	7151534	ECIAI39_1406	1098	365	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1480623	1481138	-					ydhM	7152205	ECIAI39_1407	516		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1480623	1481138	-	YP_002407412.1	WP_001400617.1		putative DNA-binding transcriptional regulator	ydhM	7152205	ECIAI39_1407	516	171	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1481613	1482509	+					ydhF	7153580	ECIAI39_1408	897		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1481613	1482509	+	YP_002407413.1	WP_000250656.1		putative oxidoreductase	ydhF	7153580	ECIAI39_1408	897	298	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1482589	1483110	+					sodC	7153576	ECIAI39_1409	522		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1482589	1483110	+	YP_002407414.1	WP_012602308.1		superoxide dismutase	sodC	7153576	ECIAI39_1409	522	173	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1483111	1485123	-					ydhK	7152872	ECIAI39_1410	2013		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1483111	1485123	-	YP_002407415.1	WP_000994306.1		hypothetical protein	ydhK	7152872	ECIAI39_1410	2013	670	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1485123	1485980	-					ydhJ	7153579	ECIAI39_1411	858		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1485123	1485980	-	YP_002407416.1	WP_001300356.1		undecaprenyl pyrophosphate phosphatase	ydhJ	7153579	ECIAI39_1411	858	285	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1485983	1486219	-					ydhI	7153578	ECIAI39_1412	237		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1485983	1486219	-	YP_002407417.1	WP_000670998.1		hypothetical protein	ydhI	7153578	ECIAI39_1412	237	78	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1486420	1486854	+					slyA	7153577	ECIAI39_1413	435		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1486420	1486854	+	YP_002407418.1	WP_000445640.1		transcriptional regulator SlyA	slyA	7153577	ECIAI39_1413	435	144	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1486901	1487368	-					slyB	7152860	ECIAI39_1414	468		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1486901	1487368	-	YP_002407419.1	WP_000597196.1		putative outer membrane lipoprotein	slyB	7152860	ECIAI39_1414	468	155	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1487642	1488751	+					anmK	7152861	ECIAI39_1415	1110		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1487642	1488751	+	YP_002407420.1	WP_000835049.1		anhydro-N-acetylmuramic acid kinase	anmK	7152861	ECIAI39_1415	1110	369	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1488849	1489178	+					ydhA	7150736	ECIAI39_1416	330		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1488849	1489178	+	YP_002407421.1	WP_000061974.1		lysozyme inhibitor	ydhA	7150736	ECIAI39_1416	330	109	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1489237	1489893	+					pdxH	7153572	ECIAI39_1417	657		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1489237	1489893	+	YP_002407422.1	WP_001282325.1		pyridoxamine 5'-phosphate oxidase	pdxH	7153572	ECIAI39_1417	657	218	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1490022	1491296	+					tyrS	7152357	ECIAI39_1418	1275		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1490022	1491296	+	YP_002407423.1	WP_001295400.1		tyrosyl-tRNA synthetase	tyrS	7152357	ECIAI39_1418	1275	424	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1491355	1492218	+					pdxY	7153066	ECIAI39_1419	864		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1491355	1492218	+	YP_002407424.1	WP_000977237.1		pyridoxamine kinase	pdxY	7153066	ECIAI39_1419	864	287	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1492262	1492867	-					gst	7152360	ECIAI39_1420	606		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1492262	1492867	-	YP_002407425.1	WP_000765744.1		glutathionine S-transferase	gst	7152360	ECIAI39_1420	606	201	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1492973	1494475	-					tppB	7151595	ECIAI39_1421	1503		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1492973	1494475	-	YP_002407426.1	WP_000100942.1		putative tripeptide transporter permease	tppB	7151595	ECIAI39_1421	1503	500	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1494758	1494958	-						7153570	ECIAI39_1422	201		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1494758	1494958	-	YP_002407427.1	WP_001197998.1		hypothetical protein		7153570	ECIAI39_1422	201	66	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1495086	1495721	-					nth	7149727	ECIAI39_1423	636		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1495086	1495721	-	YP_002407428.1	WP_001030339.1		endonuclease III	nth	7149727	ECIAI39_1423	636	211	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1495721	1496416	-					rsxE	7152261	ECIAI39_1424	696		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1495721	1496416	-	YP_002407429.1	WP_001289643.1		electron transport complex RsxE subunit	rsxE	7152261	ECIAI39_1424	696	231	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1496420	1497040	-					rsxG	7152756	ECIAI39_1425	621		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1496420	1497040	-	YP_002407430.1	WP_000920799.1		electron transport complex protein RnfG	rsxG	7152756	ECIAI39_1425	621	206	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1497044	1498102	-					rnfD	7152757	ECIAI39_1426	1059		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1497044	1498102	-	YP_002407431.1	WP_000231902.1		electron transport complex protein RnfD	rnfD	7152757	ECIAI39_1426	1059	352	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1498103	1500325	-					rsxC	7152755	ECIAI39_1427	2223		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1498103	1500325	-	YP_002407432.1	WP_000915802.1		electron transport complex protein RnfC	rsxC	7152755	ECIAI39_1427	2223	740	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1500318	1500896	-					rsxB	7152754	ECIAI39_1428	579		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1500318	1500896	-	YP_002407433.1	WP_000991809.1		electron transport complex protein RnfB	rsxB	7152754	ECIAI39_1428	579	192	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1500896	1501477	-					rsxA	7152753	ECIAI39_1429	582		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1500896	1501477	-	YP_002407434.1	WP_000133193.1		Na(+)-translocating NADH-quinone reductase subunit E	rsxA	7152753	ECIAI39_1429	582	193	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1501554	1501994	-					ydgK	7152752	ECIAI39_1430	441		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1501554	1501994	-	YP_002407435.1	WP_000214176.1		hypothetical protein	ydgK	7152752	ECIAI39_1430	441	146	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1502080	1502295	-					ydgT	7153569	ECIAI39_1431	216		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1502080	1502295	-	YP_002407436.1	WP_000217950.1		oriC-binding nucleoid-associated protein	ydgT	7153569	ECIAI39_1431	216	71	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1502568	1502768	-					blr	7153571	ECIAI39_1432	201		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1502568	1502768	-	YP_002407437.1	WP_001308671.1		beta-lactam resistance membrane protein	blr	7153571	ECIAI39_1432	201	66	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1502936	1503976	+					ydgJ	7150872	ECIAI39_1433	1041		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1502936	1503976	+	YP_002407438.1	WP_001282492.1		putative oxidoreductase	ydgJ	7150872	ECIAI39_1433	1041	346	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1504012	1505013	-					add	7153568	ECIAI39_1434	1002		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1504012	1505013	-	YP_002407439.1	WP_000567484.1		adenosine deaminase	add	7153568	ECIAI39_1434	1002	333	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1505117	1506289	-					malY	7150683	ECIAI39_1435	1173		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1505117	1506289	-	YP_002407440.1	WP_000459370.1		bifunctional beta-cystathionase, PLP-dependent and regulator of maltose regulon	malY	7150683	ECIAI39_1435	1173	390	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1506299	1507891	-					malX	7152006	ECIAI39_1436	1593		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1506299	1507891	-	YP_002407441.1	WP_000125609.1		bifunctional PTS system maltose and glucose-specific transporter subunits IICB	malX	7152006	ECIAI39_1436	1593	530	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1508066	1509094	+					malI	7152005	ECIAI39_1437	1029		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1508066	1509094	+	YP_002407442.1	WP_000179513.1		DNA-binding transcriptional repressor MalI	malI	7152005	ECIAI39_1437	1029	342	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1509236	1510582	+					insG	7151998	ECIAI39_1438	1347		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1509236	1510582	+	YP_002407443.1	WP_000483766.1		putative IS4 transposase; KpLE2 phage-like element	insG	7151998	ECIAI39_1438	1347	448	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1510644	1511411	+					hdhA	7151809	ECIAI39_1439	768		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1510644	1511411	+	YP_002407444.1	WP_000483371.1		7-alpha-hydroxysteroid dehydrogenase	hdhA	7151809	ECIAI39_1439	768	255	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1511632	1512222	+					uidR	7151622	ECIAI39_1440	591		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1511632	1512222	+	YP_002407445.1	WP_000969092.1		DNA-binding transcriptional repressor	uidR	7151622	ECIAI39_1440	591	196	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1512614	1514425	+					uidA	7153093	ECIAI39_1441	1812		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1512614	1514425	+	YP_002407446.1	WP_000945913.1		beta-D-glucuronidase	uidA	7153093	ECIAI39_1441	1812	603	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1514422	1515795	+					uidB	7153090	ECIAI39_1442	1374		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1514422	1515795	+	YP_002407447.1	WP_001075887.1		glucuronide transporter	uidB	7153090	ECIAI39_1442	1374	457	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1515834	1517099	+					uidC	7153091	ECIAI39_1443	1266		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1515834	1517099	+	YP_002407448.1	WP_001227044.1		putative outer membrane porin protein	uidC	7153091	ECIAI39_1443	1266	421	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1517144	1518652	-					ydgA	7153092	ECIAI39_1444	1509		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1517144	1518652	-	YP_002407449.1	WP_001043392.1		hypothetical protein	ydgA	7153092	ECIAI39_1444	1509	502	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1518753	1519928	-					manA	7153562	ECIAI39_1445	1176		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1518753	1519928	-	YP_002407450.1	WP_001170654.1		mannose-6-phosphate isomerase	manA	7153562	ECIAI39_1445	1176	391	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1520127	1521773	+					fumA	7152008	ECIAI39_1446	1647		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1520127	1521773	+	YP_002407451.1	WP_000066639.1		fumarate hydratase	fumA	7152008	ECIAI39_1446	1647	548	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1521916	1523319	+					fumC	7151453	ECIAI39_1447	1404		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1521916	1523319	+	YP_002407452.1	WP_001099081.1		fumarate hydratase	fumC	7151453	ECIAI39_1447	1404	467	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1523316	1524245	-					tus	7151455	ECIAI39_1448	930		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1523316	1524245	-	YP_002407453.1	WP_012602309.1		DNA replication terminus site-binding protein	tus	7151455	ECIAI39_1448	930	309	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1524321	1525622	-					rstB	7153056	ECIAI39_1449	1302		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1524321	1525622	-	YP_002407454.1	WP_000732505.1		sensor protein RstB	rstB	7153056	ECIAI39_1449	1302	433	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1525626	1526354	-					rstA	7152750	ECIAI39_1450	729		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1525626	1526354	-	YP_002407455.1	WP_012602310.1		DNA-binding transcriptional regulator RstA	rstA	7152750	ECIAI39_1450	729	242	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1526474	1526809	+					ydgC	7152749	ECIAI39_1451	336		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1526474	1526809	+	YP_002407456.1	WP_000524861.1		hypothetical protein	ydgC	7152749	ECIAI39_1451	336	111	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1526806	1527528	-					folM	7153563	ECIAI39_1452	723		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1526806	1527528	-	YP_002407457.1	WP_000520815.1		short chain dehydrogenase	folM	7153563	ECIAI39_1452	723	240	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1527565	1528947	-					ydgI	7151403	ECIAI39_1453	1383		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1527565	1528947	-	YP_002407458.1	WP_000412379.1		putative arginine/ornithine antiporter transporter	ydgI	7151403	ECIAI39_1453	1383	460	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1529133	1530077	-					ydgH	7153567	ECIAI39_1454	945		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1529133	1530077	-	YP_002407459.1	WP_000769322.1		hypothetical protein	ydgH	7153567	ECIAI39_1454	945	314	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1530602	1532134	+					pntA	7153566	ECIAI39_1455	1533		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1530602	1532134	+	YP_002407460.1	WP_012602311.1		NAD(P) transhydrogenase subunit alpha	pntA	7153566	ECIAI39_1455	1533	510	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1532145	1533533	+					pntB	7152436	ECIAI39_1456	1389		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1532145	1533533	+	YP_002407461.1	WP_000014036.1		pyridine nucleotide transhydrogenase	pntB	7152436	ECIAI39_1456	1389	462	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1533558	1534592	-					tqsA	7152437	ECIAI39_1457	1035		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1533558	1534592	-	YP_002407462.1	WP_001118241.1		putative transport protein	tqsA	7152437	ECIAI39_1457	1035	344	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1535004	1535369	+					mdtJ	7153565	ECIAI39_1458	366		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1535004	1535369	+	YP_002407463.1	WP_000276140.1		multidrug efflux system protein MdtJ	mdtJ	7153565	ECIAI39_1458	366	121	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1535356	1535685	+					mdtI	7152037	ECIAI39_1459	330		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1535356	1535685	+	YP_002407464.1	WP_000046661.1		multidrug efflux system protein MdtI	mdtI	7152037	ECIAI39_1459	330	109	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1535724	1536545	-					ydgD	7152036	ECIAI39_1460	822		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1535724	1536545	-	YP_002407465.1	WP_001260849.1		putative exported metallopeptidase	ydgD	7152036	ECIAI39_1460	822	273	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1536821	1537129	-					asr	7153564	ECIAI39_1461	309		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1536821	1537129	-	YP_002407466.1	WP_001362115.1		acid-shock protein	asr	7153564	ECIAI39_1461	309	102	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1537553	1538806	-					ynfM	7150809	ECIAI39_1462	1254		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1537553	1538806	-	YP_002407467.1	WP_000091840.1		putative MFS superfamily transporter	ynfM	7150809	ECIAI39_1462	1254	417	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1538913	1539806	+					ynfL	7154426	ECIAI39_1463	894		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1538913	1539806	+	YP_002407468.1	WP_001019530.1		putative DNA-binding transcriptional regulator	ynfL	7154426	ECIAI39_1463	894	297	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1539941	1541161	+					dgsA	7154425	ECIAI39_1464	1221		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1539941	1541161	+	YP_002407469.1	WP_000225276.1		DNA-binding transcriptional repressor	dgsA	7154425	ECIAI39_1464	1221	406	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1541286	1541981	+					ynfK	7151131	ECIAI39_1465	696		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1541286	1541981	+	YP_002407470.1	WP_000919226.1		putative dithiobiotin synthetase	ynfK	7151131	ECIAI39_1465	696	231	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1541934	1543190	-					clcB	7154424	ECIAI39_1466	1257		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1541934	1543190	-	YP_002407471.1	WP_012602312.1		putative voltage-gated ClC-type chloride channel ClcB	clcB	7154424	ECIAI39_1466	1257	418	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1543384	1543998	-					dmsD	7150961	ECIAI39_1467	615		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1543384	1543998	-	YP_002407472.1	WP_000148690.1		twin-argninine leader-binding protein DmsD	dmsD	7150961	ECIAI39_1467	615	204	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1544041	1544895	-					ynfH	7151152	ECIAI39_1468	855		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1544041	1544895	-	YP_002407473.1	WP_000526500.1		oxidoreductase, membrane subunit	ynfH	7151152	ECIAI39_1468	855	284	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1544897	1545514	-					ynfG	7154423	ECIAI39_1469	618		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1544897	1545514	-	YP_002407474.1	WP_000213028.1		oxidoreductase, Fe-S subunit	ynfG	7154423	ECIAI39_1469	618	205	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1545525	1547948	-					ynfF	7154422	ECIAI39_1470	2424		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1545525	1547948	-	YP_002407475.1	WP_012602313.1		oxidoreductase subunit	ynfF	7154422	ECIAI39_1470	2424	807	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1548009	1550435	-					ynfE	7154421	ECIAI39_1471	2427		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1548009	1550435	-	YP_002407476.1	WP_000041644.1		oxidoreductase subunit	ynfE	7154421	ECIAI39_1471	2427	808	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1550634	1550939	-					ynfD	7154420	ECIAI39_1472	306		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1550634	1550939	-	YP_002407477.1	WP_001295396.1		hypothetical protein	ynfD	7154420	ECIAI39_1472	306	101	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1551047	1551757	+					ynfC	7154419	ECIAI39_1473	711		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1551047	1551757	+	YP_002407478.1	WP_001445899.1		hypothetical protein	ynfC	7154419	ECIAI39_1473	711	236	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1551760	1552320	-					speG	7154418	ECIAI39_1474	561		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1551760	1552320	-	YP_002407479.1	WP_001138584.1		spermidine N1-acetyltransferase	speG	7154418	ECIAI39_1474	561	186	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1552355	1552696	-					ynfB	7152885	ECIAI39_1475	342		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1552355	1552696	-	YP_002407480.1	WP_000705197.1		hypothetical protein	ynfB	7152885	ECIAI39_1475	342	113	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1552831	1553157	+					ynfA	7154417	ECIAI39_1476	327		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1552831	1553157	+	YP_002407481.1	WP_001314753.1		hypothetical protein	ynfA	7154417	ECIAI39_1476	327	108	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1553363	1554577	+					rspA	7154416	ECIAI39_1477	1215		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1553363	1554577	+	YP_002407482.1	WP_012602314.1		putative enolase/dehydratase	rspA	7154416	ECIAI39_1477	1215	404	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1554589	1555608	+					rspB	7152745	ECIAI39_1478	1020		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	1554589	1555608	+	YP_002407483.1	WP_000836046.1		putative dehydrogenase	rspB	7152745	ECIAI39_1478	1020	339	
